feature,Bin,WoE,Event rate,Count (%),rare_categories,Feature IV,feature_coeff_model,score_points,feature_type
ORG_GROUP,ORG_OTHER,0.3220115722890921,0.0598333715508675,0.2659059867971773,,0.0578841611129301,-0.4701692838779809,4.368479151030511,categorical
ORG_GROUP,ORG_PRIVATE,-0.1182340553340496,0.0899498071742795,0.4195066827095053,,0.0578841611129301,-0.4701692838779809,-1.60398895603939,categorical
ORG_GROUP,ORG_STABLE,0.2724406232426624,0.0626835078389008,0.1467513251601574,,0.0578841611129301,-0.4701692838779809,3.695988855521155,categorical
ORG_GROUP,ORG_UNSTABLE,-0.306173130880192,0.1065659134394148,0.1678360053331599,,0.0578841611129301,-0.4701692838779809,-4.1536114039251935,categorical
ORG_GROUP,RARE,0.0,0.0,0.0,,0.0578841611129301,-0.4701692838779809,0.0,categorical
NAME_EDUCATION_TYPE,Higher education,0.4333941927553753,0.0538664352701665,0.2435937042697798,,0.0488897996229103,-0.4998539039698912,6.250729579009485,categorical
NAME_EDUCATION_TYPE,Lower secondary,-0.3493160528090838,0.1107438016528925,0.012296348086241,,0.0488897996229103,-0.4998539039698912,-5.0380928499173985,categorical
NAME_EDUCATION_TYPE,MISSING,-0.1085250656437003,0.0891581982971711,0.7104159214334493,,0.0488897996229103,-0.4998539039698912,-1.5652282592210849,categorical
NAME_EDUCATION_TYPE,Secondary,-0.0722879278121698,0.0862588973338159,0.0336940262105297,,0.0488897996229103,-0.4998539039698912,-1.0425896242589372,categorical
NAME_EDUCATION_TYPE,RARE,0.0,0.0,0.0,,0.0488897996229103,-0.4998539039698912,0.0,categorical
CODE_GENDER,F,0.1540261303364477,0.0700117983531722,0.6580558355825826,,0.0384206609162312,-0.4563230207367906,2.028015724185664,categorical
CODE_GENDER,M,-0.2502386256169848,0.1013564117500208,0.3419360346005008,,0.0384206609162312,-0.4563230207367906,-3.2948167070179664,categorical
CODE_GENDER,RARE,0.0,0.0,8.129816916523039e-06,Missing,0.0384206609162312,-0.4563230207367906,0.0,categorical
OCCUPATION_GROUP,LOW_SKILL,-0.3225016647059464,0.1081305637982195,0.3082216838476797,,0.0746108238641635,-0.2357142078898613,-2.1934223083159328,categorical
OCCUPATION_GROUP,MANAGERS,0.2800693404030993,0.0622367805334581,0.0694936750024389,,0.0746108238641635,-0.2357142078898613,1.9048284283295356,categorical
OCCUPATION_GROUP,MISSING,0.234982532534962,0.0649207174421627,0.3127540567786413,,0.0746108238641635,-0.2357142078898613,1.5981806772895606,categorical
OCCUPATION_GROUP,SERVICE,-0.1602313439525633,0.0934473740015551,0.1150125199180514,,0.0746108238641635,-0.2357142078898613,-1.089777333823838,categorical
OCCUPATION_GROUP,SKILLED_PRO,0.2873310721042618,0.0618143063130838,0.1945180644531885,,0.0746108238641635,-0.2357142078898613,1.954217458072554,categorical
OCCUPATION_GROUP,RARE,0.0,0.0,0.0,,0.0746108238641635,-0.2357142078898613,0.0,categorical
