score_decile,count,bad_count,pd_model_avg,good_count,pd_model_pct,observed_dr_pct,bad_capture_rate_cumsum
"(614.719, 690.96]",24605,6410,0.26656840097725193,18195,26.66,26.05,32.28
"(690.96, 705.14]",24622,3780,0.14984347214929092,20842,14.98,15.35,51.31
"(705.14, 715.77]",24584,2673,0.10486871629661232,21911,10.49,10.87,64.77
"(715.77, 724.64]",24601,1951,0.07808410283658322,22650,7.81,7.93,74.59
"(724.64, 732.72]",24622,1504,0.06004943091486906,23118,6.0,6.11,82.17
"(732.72, 740.49]",24572,1141,0.04682566539949929,23431,4.68,4.64,87.91
"(740.49, 748.36]",24611,900,0.03704028388255758,23711,3.7,3.66,92.44
"(748.36, 756.96]",24601,667,0.028669714611998458,23934,2.87,2.71,95.8
"(756.96, 767.9]",24596,478,0.021513310019685084,24118,2.15,1.94,98.21
"(767.9, 817.89]",24594,356,0.013719537183537286,24238,1.37,1.45,100.0
